Clojure(Beta),judge,clojure,1.10.2.790,clojure,Main.clo,TRUE,clojure -M _filename_
F#,judge,fsharp,5,fsharp,Main.fs,fsharpc _filename_ --out:a.exe,/usr/bin/mono ./a.exe
Elixir,judge,elixir,1.14.3,elixir,Main.exs,elixirc _filename_,/usr/local/bin/elixir -e Main.main
Lua,judge,lua,LuaJit 2.0.5,lua,Main.lua,luajit -b _filename_ a.out,/usr/bin/luajit _filename_
Julia,judge,julia,1.7.3,Julia,Main.jl,TRUE,julia _filename_
Fortran,judge,fortran,gFortran 8.5.0,fortran,Main.f90,gfortran _filename_ -O2 -o ./a.out,./a.out
JavaScript,judge,node,node v18.15.0,javascript,Main.js,TRUE,/usr/bin/node _filename_ ONLINE_JUDGE
TypeScript,judge,typescript,5.0.2,typescript,main.ts,/usr/bin/tsc.sh -p tsconfig.json,/usr/bin/node main.js ONLINE_JUDGE
Common Lisp,judge,lisp,sbcl 2.1.6,lisp,Main.lisp,sbclc _filename_,/usr/local/bin/sbcl --script Main.fasl
Standard ML,judge,sml,MLton 20210117,sml,main.sml,mlton _filename_,./main
Kuin,judge,kuin,KuinC++ v.2021.9.17,kuin,main.kn,KuinInKuin -i _filename_ -o out.cpp -s /KuinInKuin/src/sys/ -e cpp -r -q,./a.out
Kuin exe(beta),judge,kuinexe,v.2021.9.17 on Wine,kuin,main.kn,kuinc /kuin/kuincl.exe -i _filename_ -o out.exe -s /kuin/sys/ -e exe -r -q,kuin out.exe
Vim script,judge,vim,v9.0,text,Main.vim,TRUE,/usr/bin/vim -u NONE -i NONE -X -N -n -e -s -S _filename_ /dev/stdin -c qa!
Bash,judge,sh,Bash 4.4.20,sh,Main.sh,TRUE,/usr/bin/sh _filename_
Assembler,judge,nasm,nasm 2.15.03,assembly_x86,Main.asm,nasmc Main,./a.out
cLay,judge,clay,20221230-1,cpp,Main.clay,clayc _filename_,./a.out
Brainfuck,judge,bf,BFI 1.1,text,Main.bf,TRUE,/usr/bin/bf _filename_
Whitespace,judge,Whitespace,0.3,text,Main.ws,TRUE,/usr/bin/wspace _filename_
Text,judge,text,cat 8.3,text,Main.txt,TRUE,/usr/bin/cat _filename_
